ActualElapsedTime,Origin,Distance,Cancelled
45,HOU,Short,0
38,PDX,Short,0
49,CMH,Short,0
193,MSP,Long,0
55,PWM,Short,0
339,IAD,ExtraLong,0
52,BHM,Short,0
83,RAP,Short,0
200,MSP,Long,0
80,BOS,Short,0
177,PHL,Long,0
232,IAD,Long,0
145,PHL,Medium,0
59,GNV,Short,0
66,PHL,Short,0
59,RIC,Short,0
62,PHX,Short,0
91,ATL,Medium,0
114,ORD,Medium,0
89,ATL,Medium,0
75,OAJ,Short,0
240,STX,Long,0
63,CPR,Short,0
48,OKC,Short,0
152,FLL,Long,0
181,SFO,Long,0
127,DCA,Medium,0
291,LAX,ExtraLong,0
124,MSY,Medium,0
77,CLE,Short,0
30,BLI,Short,0
162,EWR,Medium,0
68,CPR,Short,0
110,CLT,Medium,0
69,PHL,Short,0
104,ABE,Medium,0
131,CLT,Medium,0
55,PDX,Short,0
142,STL,Long,0
57,CLE,Short,0
80,DCA,Short,0
90,ABQ,Medium,0
258,LGA,Long,0
190,SEA,Long,0
45,CLT,Short,0
227,MSP,Long,0
459,DFW,ExtraLong,0
86,SNA,Short,0
119,ATL,Medium,0
165,LAS,Long,0
NA,PBI,Medium,1
170,DTW,Medium,0
51,SEA,Short,0
73,MSP,Short,0
82,ATL,Short,0
93,STL,Short,0
91,MEM,Short,0
105,ORD,Medium,0
81,MKE,Short,0
91,DTW,Short,0
94,SRQ,Short,0
37,ONT,Short,0
101,ORD,Medium,0
41,GTF,Short,0
57,LBB,Short,0
77,FSD,Short,0
159,IAH,Medium,0
72,MEM,Short,0
59,OKC,Short,0
185,IAH,Long,0
177,IAH,Long,0
66,ATL,Short,0
60,STL,Short,0
171,PDX,Medium,0
123,LAX,Medium,0
78,ORD,Short,0
35,RNO,Short,0
95,BOS,Short,0
129,DCA,Medium,0
59,DFW,Short,0
44,BNA,Short,0
59,SJC,Short,0
209,DFW,Long,0
93,COS,Medium,0
88,SYR,Short,0
37,SEA,Short,0
81,OAK,Medium,0
80,ONT,Short,0
126,ORD,Medium,0
78,SFO,Short,0
70,PHX,Short,0
28,COS,Short,0
89,SLC,Short,0
140,MIA,Medium,0
132,SMF,Medium,0
156,SAN,Long,0
65,BWI,Short,0
180,EWR,Long,0
162,PHL,Medium,0
59,MDW,Short,0
53,ATL,Short,0
25,CVG,Short,0
129,LGA,Medium,0
99,MEM,Medium,0
109,IAH,Medium,0
67,LAX,Short,0
68,MCI,Short,0
105,TUL,Medium,0
249,ATL,Long,0
123,BDL,Medium,0
NA,DTW,Long,1
